marker,key,randoxCode,resultType,panels,healthAreas,duplicateGroup,templateFamily,reviewStatus,reviewedBy,chars,flags,whatItIs,highMeans,lowMeans,lifestyleContext
"Raspberry (IgG)","raspberry-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","396","TEMPLATE-FAMILY","Measures IgG antibodies to Raspberry in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Raspberry.","","",""
"Red Blood Cell Count","rbc","","MEASURED","Ran Chip Insight 360; Core; Insight 360; Signature","Full Blood Count","","","DRAFT","","203","","The number of oxygen-carrying cells circulating in your blood.","Can reflect dehydration or conditions that overproduce red cells.","Often reflects anaemia.","Interpreted alongside haemoglobin and haematocrit."
"Red Blood Cells (urine)","red-blood-cells-urine","","MEASURED","Insight 360; Signature","Urinalysis","","","DRAFT","","179","","A urine dipstick reading for blood in the urine. The strip detects haemoglobin, so it responds to red blood cells too few to see and also to menstrual contamination of the sample.","","",""
"Red Cell Distribution Width (RDW)","rdw","","MEASURED","Ran Chip Insight 360","","","","DRAFT","","188","","How much variation there is in the size of your red blood cells.","Can indicate an early nutrient deficiency or mixed causes of anaemia.","","Most useful alongside other full blood count markers."
"Redcurrant (IgG)","redcurrant-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","398","TEMPLATE-FAMILY","Measures IgG antibodies to Redcurrant in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Redcurrant.","","",""
"Rheumatoid Factor","rheumatoid-factor","","MEASURED","Insight 360; Signature","Infection & Inflammation; Muscle & Joint Health; Autoimmune","","","DRAFT","","192","","An antibody that binds to other antibodies. It is one of several tests used in the assessment of inflammatory joint disease, and it is also found in some people with no joint condition at all.","","",""
"Rhubarb (IgG)","rhubarb-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","392","TEMPLATE-FAMILY","Measures IgG antibodies to Rhubarb in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Rhubarb.","","",""
"Rice (IgG)","rice-igg","","SENSITIVITY","Signature","Food Sensitivity: Grains","","yes","DRAFT","","386","TEMPLATE-FAMILY","Measures IgG antibodies to Rice in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Rice.","","",""
"Rocket (IgG)","rocket-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Rocket in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Rocket.","","",""
"Rosemary (IgG)","rosemary-igg","","SENSITIVITY","Signature","Food Sensitivity: Herbs & Spices","","yes","DRAFT","","394","TEMPLATE-FAMILY","Measures IgG antibodies to Rosemary in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Rosemary.","","",""
"Rye (IgG)","rye-igg","","SENSITIVITY","Signature","Food Sensitivity: Grains","","yes","DRAFT","","384","TEMPLATE-FAMILY","Measures IgG antibodies to Rye in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Rye.","","",""
"SHBG (Sex Hormone Binding Globulin)","shbg","","MEASURED","Advanced GP3 (Male); Advanced GP3 (Female); HSC14 Fertility; Core; Insight 360; Signature","Male Hormone; Female Hormone","","","DRAFT","","157","","A protein that binds sex hormones like testosterone and oestrogen, affecting how much is freely available.","","","Interpreted alongside total and free testosterone."
"Saffron (IgG)","saffron-igg","","SENSITIVITY","Signature","Food Sensitivity: Herbs & Spices","","yes","DRAFT","","392","TEMPLATE-FAMILY","Measures IgG antibodies to Saffron in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Saffron.","","",""
"Sage (IgG)","sage-igg","","SENSITIVITY","Signature","Food Sensitivity: Herbs & Spices","","yes","DRAFT","","386","TEMPLATE-FAMILY","Measures IgG antibodies to Sage in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Sage.","","",""
"Salmon (IgG)","salmon-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Salmon in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Salmon.","","",""
"Sardine (IgG)","sardine-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","392","TEMPLATE-FAMILY","Measures IgG antibodies to Sardine in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Sardine.","","",""
"Saturated Fats Response","saturated-fats-response","","GENETIC","Signature","Diet & Nutrition","","","DRAFT","","199","","Relates to inherited variation, including in APOA2, associated with differences in how blood fats respond to saturated fat in the diet. Findings in this area have not been consistent between studies.","","",""
"Scallop (IgG)","scallop-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","392","TEMPLATE-FAMILY","Measures IgG antibodies to Scallop in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Scallop.","","",""
"Sea Bream (Gilthead) (IgG)","sea-bream-gilthead-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","418","TEMPLATE-FAMILY","Measures IgG antibodies to Sea Bream (Gilthead) in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Sea Bream (Gilthead).","","",""
"Selenium Deficiency Risk","selenium-deficiency-risk","","GENETIC","Signature","Diet & Nutrition","","","DRAFT","","158","TEMPLATED","Relates to inherited variation in genes that transport selenium and build it into the body’s proteins. It describes a tendency rather than measuring selenium.","","",""
"Serum Iron","iron","","MEASURED","Ran Chip Insight 360; Nutritional Health HSC15; Core; Insight 360; Signature","Nutritional Health; Iron Status","","","DRAFT","","212","","The amount of iron currently circulating in your blood.","Can fluctuate with recent diet or supplementation.","Can contribute to iron-deficiency anaemia.","Best interpreted alongside ferritin for the full iron picture."
"Sesame Seed (IgG)","sesame-seed-igg","","SENSITIVITY","Signature","Food Sensitivity: Nuts & Seeds","","yes","DRAFT","","400","TEMPLATE-FAMILY","Measures IgG antibodies to Sesame Seed in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Sesame Seed.","","",""
"Shallot (IgG)","shallot-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","392","TEMPLATE-FAMILY","Measures IgG antibodies to Shallot in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Shallot.","","",""
"Shrimp/Prawn (IgG)","shrimp-prawn-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","402","TEMPLATE-FAMILY","Measures IgG antibodies to Shrimp/Prawn in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Shrimp/Prawn.","","",""
"Sleep","sleep","","GENETIC","Signature","Health & Wellbeing","","","DRAFT","","171","","Relates to inherited variation in body clock genes such as CLOCK and PER. It describes a tendency towards a sleep pattern rather than measuring how anyone actually sleeps.","","",""
"Sodium","sodium","","MEASURED","Ran Chip Insight 360; Core; Insight 360; Signature","Kidney Health","","","DRAFT","","202","","An electrolyte that helps regulate fluid balance and nerve function.","Can reflect dehydration.","Can reflect fluid overload or certain medications.","Usually reflects hydration status at the time of testing."
"Sole (IgG)","sole-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","386","TEMPLATE-FAMILY","Measures IgG antibodies to Sole in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Sole.","","",""
"Soluble Tumour Necrosis Factor I","stnf-r1","","MEASURED","Insight 360; Signature","Kidney Health","","","DRAFT","","176","","The soluble form of one of the two receptors for tumour necrosis factor, shed from cell surfaces into the blood. It is measured as a research marker of inflammatory signalling.","","",""
"Soluble Tumour Necrosis Factor II","stnf-r2","","MEASURED","Insight 360; Signature","Kidney Health","","","DRAFT","","177","","The soluble form of the second tumour necrosis factor receptor, shed from cell surfaces into the blood. Like its counterpart, it is a research marker of inflammatory signalling.","","",""
"Soya Bean (IgG)","soya-bean-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","396","TEMPLATE-FAMILY","Measures IgG antibodies to Soya Bean in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Soya Bean.","","",""
"Spelt (IgG)","spelt-igg","","SENSITIVITY","Signature","Food Sensitivity: Grains","","yes","DRAFT","","388","TEMPLATE-FAMILY","Measures IgG antibodies to Spelt in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Spelt.","","",""
"Spinach (IgG)","spinach-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","392","TEMPLATE-FAMILY","Measures IgG antibodies to Spinach in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Spinach.","","",""
"Squash (Butternut/Carnival) (IgG)","squash-butternut-carnival-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","432","TEMPLATE-FAMILY","Measures IgG antibodies to Squash (Butternut/Carnival) in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Squash (Butternut/Carnival).","","",""
"Squid (IgG)","squid-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","388","TEMPLATE-FAMILY","Measures IgG antibodies to Squid in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Squid.","","",""
"Staphylococcus aureus","staphylococcus-aureus","","QUALITATIVE","Signature","UTI","","","DRAFT","","177","","Staphylococcus aureus, which commonly lives on skin and in the nose and can cause infection elsewhere in the body. The panel reports whether it was detected in the urine sample.","","",""
"Staphylococcus epidermidis","staphylococcus-epidermidis","","QUALITATIVE","Signature","UTI","","","DRAFT","","209","","Staphylococcus epidermidis, one of the usual inhabitants of human skin. It is a frequent contaminant of urine samples as well as an occasional cause of infection, and the panel reports whether it was detected.","","",""
"Staphylococcus saprophyticus","staphylococcus-saprophyticus","","QUALITATIVE","Signature","UTI","","","DRAFT","","166","","Staphylococcus saprophyticus, recognised as a cause of urinary infection particularly in younger women. The panel reports whether it was detected in the urine sample.","","",""
"Strawberry (IgG)","strawberry-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","398","TEMPLATE-FAMILY","Measures IgG antibodies to Strawberry in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Strawberry.","","",""
"Streptococcus agalactiae (GBS)","streptococcus-agalactiae-gbs","","QUALITATIVE","Signature","UTI","","","DRAFT","","184","","Streptococcus agalactiae, also called group B streptococcus, which many adults carry without it causing them any trouble. The panel reports whether it was detected in the urine sample.","","",""
"Sunflower Seed (IgG)","sunflower-seed-igg","","SENSITIVITY","Signature","Food Sensitivity: Nuts & Seeds","","yes","DRAFT","","406","TEMPLATE-FAMILY","Measures IgG antibodies to Sunflower Seed in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Sunflower Seed.","","",""
"Sweet Potato (IgG)","sweet-potato-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","402","TEMPLATE-FAMILY","Measures IgG antibodies to Sweet Potato in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Sweet Potato.","","",""
"Sweet Taste Perception","sweet-taste-perception","","GENETIC","Signature","Diet & Nutrition","","","DRAFT","","187","","Relates to variants in the TAS1R sweet taste receptor genes, associated with how strongly sweetness is perceived. It describes an inherited trait rather than anything about what is eaten.","","",""
"Swordfish (IgG)","swordfish-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","396","TEMPLATE-FAMILY","Measures IgG antibodies to Swordfish in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Swordfish.","","",""
"Systolic Blood Pressure","systolic-blood-pressure","","MEASURED","Insight 360; Signature","Metabolic Syndrome; Personal Health Measurements","","","DRAFT","","182","","The pressure in the arteries as the heart contracts and pushes blood out. It is the upper of the two numbers in a blood pressure reading and is taken with a cuff at your appointment.","","",""
"T1D Autoantibodies","t1d-autoantibodies","","MEASURED","Insight 360; Signature","Autoimmune","","","DRAFT","","189","","A group of antibodies directed at parts of the insulin-producing cells of the pancreas. They are used to help establish which type of diabetes is present rather than to screen for diabetes.","","",""
"TNF-α (Tumour Necrosis Factor Alpha)","tnf-alpha","","MEASURED","RP10 Heart Health; Signature; Insight 360","Metabolic Syndrome","","","DRAFT","","177","","A signalling protein that helps regulate immune and inflammatory responses.","Can reflect chronic inflammation.","","Interpreted alongside other inflammatory markers rather than alone."
"TSH (Thyroid Stimulating Hormone)","tsh","","MEASURED","Ran Chip Insight 360; Signature; Advanced GP3 (Male); Advanced GP3 (Female); HSC14 Fertility; Core; Insight 360","Thyroid Health; Pituitary & Adrenal","","","DRAFT","","238","","A pituitary hormone that regulates your thyroid gland.","Can indicate an underactive thyroid (hypothyroidism).","Can indicate an overactive thyroid (hyperthyroidism).","Thyroid function is best assessed alongside Free T4 and how you’re feeling."
"Tangerine (IgG)","tangerine-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","396","TEMPLATE-FAMILY","Measures IgG antibodies to Tangerine in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Tangerine.","","",""
"Tapioca (IgG)","tapioca-igg","","SENSITIVITY","Signature","Food Sensitivity: Grains","","yes","DRAFT","","392","TEMPLATE-FAMILY","Measures IgG antibodies to Tapioca in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Tapioca.","","",""
"Tarragon (IgG)","tarragon-igg","","SENSITIVITY","Signature","Food Sensitivity: Herbs & Spices","","yes","DRAFT","","394","TEMPLATE-FAMILY","Measures IgG antibodies to Tarragon in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Tarragon.","","",""
"Tea (Black) (IgG)","tea-black-igg","","SENSITIVITY","Signature","Food Sensitivity: Misc","","yes","DRAFT","","400","TEMPLATE-FAMILY","Measures IgG antibodies to Tea (Black) in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Tea (Black).","","",""
"Tea (Green) (IgG)","tea-green-igg","","SENSITIVITY","Signature","Food Sensitivity: Misc","","yes","DRAFT","","400","TEMPLATE-FAMILY","Measures IgG antibodies to Tea (Green) in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Tea (Green).","","",""
"Testosterone","testosterone","","MEASURED","Advanced GP3 (Male); Core; Insight 360; Signature","Male Hormone; Stress; Female Hormone","","","DRAFT","","251","","The primary male sex hormone, also present in smaller amounts in women.","Can reflect certain hormonal conditions.","Can contribute to low energy, reduced libido, and mood changes.","Sleep, resistance exercise, and healthy weight all support natural levels."
"Testosterone","testosterone-f","","MEASURED","Advanced GP3 (Female); HSC14 Fertility","","","","DRAFT","","244","","A sex hormone present in smaller amounts in women, important for energy and libido.","Can reflect conditions such as PCOS.","Can contribute to low energy and reduced libido.","Sleep, resistance exercise, and healthy weight all support natural levels."
"The Firmicutes/Bacteroidetes (F/B) ratio","the-firmicutes-bacteroidetes-f-b-ratio","","COMPOSITION","Signature","Bacterial Composition","","","DRAFT","","228","","The ratio between two of the largest groups of gut bacteria. It was once widely reported as a summary of gut health, and later work has not supported that use, so it is best read as a description of composition and nothing more.","","",""
"Thyme (IgG)","thyme-igg","","SENSITIVITY","Signature","Food Sensitivity: Herbs & Spices","","yes","DRAFT","","388","TEMPLATE-FAMILY","Measures IgG antibodies to Thyme in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Thyme.","","",""
"Thyroid Binding Globulin (TBG)","thyroid-binding-globulin-tbg","","MEASURED","Insight 360; Signature","Thyroid Health","","","DRAFT","","204","","The main protein that carries thyroid hormones through the bloodstream. It is measured when total and free thyroid hormone levels appear to disagree, since the amount of carrier protein affects the total.","","",""
"Tiger Nut (IgG)","tiger-nut-igg","","SENSITIVITY","Signature","Food Sensitivity: Nuts & Seeds","","yes","DRAFT","","396","TEMPLATE-FAMILY","Measures IgG antibodies to Tiger Nut in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Tiger Nut.","","",""
"Tomato (IgG)","tomato-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Tomato in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Tomato.","","",""
"Total Bilirubin","bilirubin","","MEASURED","Ran Chip Insight 360; Core; Insight 360; Signature","Liver Health","","","DRAFT","","240","","A breakdown product of red blood cells, processed by the liver.","Can reflect liver dysfunction, bile duct blockage, or increased red cell breakdown.","","Mildly raised levels in isolation are often a benign, harmless variant (Gilbert’s syndrome)."
"Total Cholesterol","total-cholesterol","","MEASURED","Ran Chip Insight 360; Signature; Advanced GP3 (Male); Advanced GP3 (Female); RP3 Metabolic Syndrome; RP10 Heart Health; Core; Insight 360","Heart Health","","","DRAFT","","214","","The combined measure of all cholesterol carried in your blood.","Higher levels are linked to increased cardiovascular risk over time.","","Diet, exercise, and not smoking all support cholesterol levels in the usual range."
"Total Cholesterol / HDL Ratio","chol-hdl-ratio","","MEASURED","Ran Chip Insight 360; RP10 Heart Health; Core; Signature; Insight 360","Heart Health","","","DRAFT","","204","","A calculated ratio that helps put your total cholesterol into context.","A higher ratio is linked to increased cardiovascular risk.","","Improves with the same lifestyle changes that improve cholesterol overall."
"Total Iron Binding Capacity","tibc","","MEASURED","Nutritional Health HSC15; Core; Insight 360; Signature","Iron Status","","","DRAFT","","133","","A measure of how much iron your blood could carry, reflecting iron transport capacity.","","","Interpreted alongside serum iron and ferritin."
"Total PSA","total-psa","","MEASURED","Insight 360; Signature","Prostate Health","","","DRAFT","","222","","Prostate specific antigen, a protein made by the prostate gland and present in small amounts in blood. It is affected by prostate size, age, recent ejaculation, cycling and urinary infection as well as by prostate disease.","","",""
"Total Protein","total-protein","","MEASURED","Ran Chip Insight 360; Nutritional Health HSC15; Core; Insight 360; Signature","Kidney Health","","","DRAFT","","130","","The combined level of all proteins in your blood, including albumin.","","","Interpreted alongside albumin and overall nutritional status."
"Transferrin","transferrin","","MEASURED","Insight 360; Signature","Iron Status","","","DRAFT","","150","","The protein that carries iron around the bloodstream. It is read alongside iron and ferritin when the way the body is handling iron is being assessed.","","",""
"Transferrin Saturation","transferrin-saturation","","MEASURED","Core; Insight 360; Signature","Iron Status","","","DRAFT","","173","","The percentage of transferrin, the blood’s iron carrier, that is currently carrying iron. It is calculated from iron and iron binding capacity rather than measured directly.","","",""
"Triglycerides","triglycerides","","MEASURED","Ran Chip Insight 360; Signature; Advanced GP3 (Male); Advanced GP3 (Female); RP3 Metabolic Syndrome; RP10 Heart Health; Core; Insight 360","Heart Health; Metabolic Syndrome","","","DRAFT","","180","","A type of fat in your blood, largely influenced by diet.","Can reflect diet, alcohol intake, or metabolic factors.","","Reducing refined sugar and alcohol intake often has a quick effect."
"Trimethoprim Resistance","trimethoprim-resistance","","QUALITATIVE","Signature","UTI","2","","DRAFT","","163","","A test for genetic markers that make bacteria resistant to trimethoprim. It describes a property of bacteria in the sample rather than a measurement of the person.","","",""
"Troponin I","troponin-i","","MEASURED","Insight 360; Signature","Heart Health","","","DRAFT","","220","","A protein in the contracting machinery of heart muscle, released into the blood when heart muscle cells are injured. Modern assays detect very small amounts, so results are always read against the timing of any symptoms.","","",""
"Troponin T","troponin-t","","MEASURED","Insight 360; Signature","Heart Health","","","DRAFT","","194","","A protein of the same contracting complex in heart muscle as troponin I, measured by a different assay. Laboratories generally report one or the other, and their numbers are not interchangeable.","","",""
"Trout (IgG)","trout-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","388","TEMPLATE-FAMILY","Measures IgG antibodies to Trout in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Trout.","","",""
"Tuna (IgG)","tuna-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","386","TEMPLATE-FAMILY","Measures IgG antibodies to Tuna in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Tuna.","","",""
"Turbot (IgG)","turbot-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Turbot in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Turbot.","","",""
"Turkey (IgG)","turkey-igg","","SENSITIVITY","Signature","Food Sensitivity: Meat","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Turkey in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Turkey.","","",""
"Turnip (IgG)","turnip-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Turnip in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Turnip.","","",""
"Type 1 Diabetes Risk","type-1-diabetes-risk","","GENETIC","Signature","Genetic Risk Assessment","","","DRAFT","","184","","Looks at HLA tissue types associated with type 1 diabetes. These types are common in the general population and the great majority of people who carry them never develop the condition.","","",""
"Urea","urea","","MEASURED","Ran Chip Insight 360; Core; Signature; Insight 360","Kidney Health","","","DRAFT","","158","CROSS-REFERENCES(Creatinine)","A waste product from protein breakdown, cleared by the kidneys.","Can reflect reduced kidney function or dehydration.","","Interpreted alongside creatinine and eGFR."
